Gene	GDI	GDI-Phred	Gene damage prediction (all disease-causing genes)
PTGDS	17.99728	0.62847	Medium
DHX40	18.00486	0.62873	Medium
ZCRB1	18.00567	0.62898	Medium
SLC25A51	18.02048	0.62924	Medium
BRE	18.0279	0.62950	Medium
BPIFA1	18.05735	0.62975	Medium
THOC1	18.05942	0.63001	Medium
C10orf107	18.06284	0.63027	Medium
EIF4G2	18.07447	0.63052	Medium
PABPN1	18.08202	0.63078	Medium
CTC-236F12.4	18.08395	0.63104	Medium
C19orf66	18.09066	0.63129	Medium
C8orf59	18.09798	0.63155	Medium
RAB4A	18.10086	0.63181	Medium
VWC2L	18.10859	0.63207	Medium
USP22	18.11431	0.63232	Medium
PPIB	18.15303	0.63258	Medium
PAQR8	18.17095	0.63284	Medium
AP000350.10	18.17303	0.63309	Medium
NEUROD2	18.18079	0.63335	Medium
HIST1H2BG	18.22838	0.63361	Medium
RAB12	18.24236	0.63386	Medium
UCHL3	18.24807	0.63412	Medium
TRAF6	18.25202	0.63438	Medium
HNRNPH1	18.26126	0.63463	Medium
RP11-603J24.9	18.27062	0.63489	Medium
PTCHD1	18.27813	0.63515	Medium
YWHAB	18.29907	0.63541	Medium
LYPD1	18.3074	0.63566	Medium
CACNG8	18.30866	0.63592	Medium
PPP1R14C	18.34053	0.63618	Medium
ZFAND2A	18.35464	0.63643	Medium
PTN	18.3676	0.63669	Medium
CD53	18.38787	0.63695	Medium
RARB	18.39283	0.63721	Medium
STX7	18.39719	0.63746	Medium
RNF121	18.40799	0.63772	Medium
SLBP	18.41337	0.63798	Medium
NPC2	18.41517	0.63823	Medium
SPG21	18.4177	0.63849	Medium
PPCS	18.42775	0.63875	Medium
CSTF2	18.45486	0.63901	Medium
UBE2Q1	18.46014	0.63926	Medium
WTAP	18.47383	0.63952	Medium
THRB	18.48609	0.63978	Medium
GRPEL2	18.50199	0.64003	Medium
C17orf75	18.50944	0.64029	Medium
GRIA3	18.51356	0.64055	Medium
SHISA7	18.53211	0.64106	Medium
TAF9B	18.53211	0.64081	Medium
FAM76A	18.53585	0.64132	Medium
NOP10	18.54283	0.64158	Medium
GOLT1A	18.54855	0.64184	Medium
TMEM31	18.55353	0.64209	Medium
BOLA3	18.55403	0.64235	Medium
WRB	18.55418	0.64261	Medium
CCDC160	18.55575	0.64287	Medium
CBLN1	18.56197	0.64312	Medium
FADS3	18.56228	0.64338	Medium
CHN1	18.57043	0.64364	Medium
TOM1L2	18.6274	0.64390	Medium
RHOQ	18.62886	0.64415	Medium
GPR119	18.65114	0.64441	Medium
CLNS1A	18.65228	0.64467	Medium
AC016251.1	18.66982	0.64493	Medium
MNX1	18.67801	0.64518	Medium
AC104472.1	18.69457	0.64544	Medium
TSNAX	18.71119	0.64570	Medium
EIF5AL1	18.72537	0.64596	Medium
CBY1	18.73118	0.64621	Medium
MTRNR2L10	18.73606	0.64647	Medium
MPP1	18.73693	0.64673	Medium
SNX10	18.74629	0.64699	Medium
NXPH3	18.74987	0.64725	Medium
COX8A	18.76036	0.64750	Medium
BTBD9	18.76686	0.64776	Medium
CAPZB	18.76827	0.64802	Medium
TMEM30A	18.76838	0.64828	Medium
COPS8	18.77437	0.64853	Medium
SATB2	18.7762	0.64879	Medium
DCAF12L2	18.78134	0.64905	Medium
HCST	18.78205	0.64931	Medium
G6PC	18.80998	0.64957	Medium
WNT3A	18.81775	0.64982	Medium
REEP2	18.82305	0.65008	Medium
FBXO21	18.8244	0.65034	Medium
COPS7A	18.82591	0.65060	Medium
AC040977.1	18.83547	0.65086	Medium
RAB32	18.86073	0.65111	Medium
NFYA	18.86158	0.65137	Medium
MED19	18.86274	0.65163	Medium
ARMCX5	18.8892	0.65189	Medium
VPS28	18.89106	0.65215	Medium
MAZ	18.8914	0.65240	Medium
OPCML	18.89153	0.65266	Medium
ZC3H8	18.91348	0.65292	Medium
C11orf85	18.91511	0.65318	Medium
FKBP7	18.91851	0.65344	Medium
SH3BGRL2	18.93269	0.65369	Medium
KCNE3	18.94968	0.65395	Medium
FAM110B	18.95041	0.65421	Medium
AZIN1	18.95596	0.65447	Medium
AGPAT1	18.97055	0.65473	Medium
SYNGR1	18.97312	0.65498	Medium
CDKN3	18.98713	0.65524	Medium
AL365202.1	18.99271	0.65550	Medium
TMEM256-PLSCR3	18.99513	0.65576	Medium
UBA3	19.00162	0.65602	Medium
SPRR2G	19.0031	0.65628	Medium
C7orf73	19.00658	0.65653	Medium
NRL	19.01373	0.65679	Medium
CPSF4L	19.0294	0.65705	Medium
ZNF525	19.03117	0.65731	Medium
CPNE4	19.03654	0.65757	Medium
EMD	19.04046	0.65783	Medium
ANKRD39	19.05397	0.65808	Medium
NPTN	19.08857	0.65834	Medium
DNAJC24	19.09788	0.65860	Medium
TM4SF1	19.10504	0.65886	Medium
KHSRP	19.12445	0.65912	Medium
PAEP	19.13589	0.65938	Medium
FEM1C	19.14031	0.65963	Medium
CXCL10	19.14765	0.65989	Medium
MED6	19.14886	0.66015	Medium
METTL6	19.16525	0.66041	Medium
MINOS1-NBL1	19.17431	0.66067	Medium
PSME1	19.18514	0.66093	Medium
C5orf24	19.20533	0.66119	Medium
AC015989.1	19.20574	0.66170	Medium
AC092782.1	19.20574	0.66144	Medium
MAPK3	19.21066	0.66196	Medium
AMD1	19.21749	0.66222	Medium
USP7	19.2272	0.66248	Medium
PRR23C	19.23022	0.66274	Medium
UCK1	19.231	0.66300	Medium
GABRA2	19.24152	0.66325	Medium
PRR9	19.24749	0.66351	Medium
ATP5C1	19.26228	0.66377	Medium
MKLN1	19.26303	0.66403	Medium
AKAP14	19.28263	0.66429	Medium
ARC	19.29175	0.66455	Medium
KCNA1	19.30329	0.66481	Medium
TEX29	19.3167	0.66507	Medium
TCF4	19.31829	0.66532	Medium
JOSD2	19.35766	0.66558	Medium
CD300LB	19.37612	0.66584	Medium
FAM24A	19.37663	0.66610	Medium
AL589765.1	19.38	0.66636	Medium
MAD2L1	19.38659	0.66662	Medium
SOWAHD	19.38951	0.66688	Medium
GNAI2	19.39378	0.66714	Medium
NDUFB6	19.40679	0.66740	Medium
LUZP4	19.40911	0.66765	Medium
TRMT13	19.43027	0.66791	Medium
PTPN11	19.44641	0.66817	Medium
MS4A3	19.46533	0.66843	Medium
NUDT3	19.49364	0.66869	Medium
SSX4B	19.50073	0.66895	Medium
KCNIP2	19.51693	0.66921	Medium
PRR23B	19.51791	0.66947	Medium
KLHL4	19.51878	0.66973	Medium
ANKRD13C	19.53373	0.66999	Medium
RUVBL2	19.53697	0.67025	Medium
MRPL18	19.53969	0.67050	Medium
RABL3	19.54182	0.67076	Medium
AC019171.1	19.54317	0.67102	Medium
RBMX2	19.54878	0.67128	Medium
ZNF720	19.56487	0.67154	Medium
DCTN3	19.56698	0.67180	Medium
GLIPR2	19.58638	0.67206	Medium
PPP6C	19.59249	0.67232	Medium
TPPP3	19.60056	0.67258	Medium
ORC6	19.61392	0.67284	Medium
CRYAB	19.62169	0.67310	Medium
CSDC2	19.62493	0.67336	Medium
PRMT1	19.62667	0.67361	Medium
ELAVL4	19.6708	0.67387	Medium
SNRNP40	19.69765	0.67413	Medium
CD84	19.7083	0.67439	Medium
ZNF385A	19.75985	0.67465	Medium
IL1RN	19.76062	0.67491	Medium
BNIP3	19.77173	0.67517	Medium
SMARCD1	19.77766	0.67543	Medium
RBM25	19.8014	0.67569	Medium
CLRN1	19.82253	0.67595	Medium
ZDHHC16	19.82623	0.67621	Medium
GULP1	19.84674	0.67647	Medium
C21orf62	19.84867	0.67673	Medium
HPDL	19.88683	0.67699	Medium
FSHB	19.89022	0.67725	Medium
FAM163B	19.90115	0.67751	Medium
PRMT2	19.90658	0.67777	Medium
TRAM2	19.90664	0.67803	Medium
EZH1	19.92021	0.67829	Medium
APOA1BP	19.92661	0.67854	Medium
NDUFS6	19.92703	0.67880	Medium
ACTL6B	19.95387	0.67906	Medium
CAMKV	19.95748	0.67932	Medium
AL360181.1	19.96006	0.67984	Medium
ARMC1	19.96006	0.67958	Medium
MRPL36	19.96463	0.68010	Medium
AGO4	19.9687	0.68036	Medium
EFNA5	19.98197	0.68062	Medium
GKN1	19.98855	0.68088	Medium
RP11-10J21.3	19.9906	0.68114	Medium
SLC35E1	19.99653	0.68140	Medium
MCRS1	19.99946	0.68166	Medium
EIF3H	20.00044	0.68192	Medium
NCK2	20.00595	0.68218	Medium
MLF2	20.01153	0.68244	Medium
PPP2R2B	20.01727	0.68270	Medium
SMURF1	20.01889	0.68296	Medium
FAR1	20.01938	0.68322	Medium
RHOH	20.03305	0.68348	Medium
CELF3	20.03326	0.68374	Medium
HSP90AB1	20.0367	0.68400	Medium
ISOC1	20.03807	0.68426	Medium
MAGED1	20.0446	0.68452	Medium
NDUFC1	20.04544	0.68478	Medium
UCN2	20.05397	0.68504	Medium
SERPINA4	20.0632	0.68530	Medium
FOXN2	20.06643	0.68556	Medium
DUT	20.06802	0.68582	Medium
EFTUD2	20.07609	0.68608	Medium
CST4	20.08609	0.68634	Medium
FDX1	20.08686	0.68660	Medium
RORA	20.08791	0.68686	Medium
C3orf55	20.09322	0.68712	Medium
LYPD6	20.10254	0.68738	Medium
FADS1	20.11123	0.68764	Medium
RRM2	20.12841	0.68790	Medium
STC1	20.13195	0.68816	Medium
PDGFA	20.13502	0.68842	Medium
SERTAD1	20.13556	0.68868	Medium
GTF2H2	20.14031	0.68894	Medium
DUSP11	20.14995	0.68920	Medium
MAT1A	20.15228	0.68946	Medium
YKT6	20.16391	0.68972	Medium
RP11-295D22.1	20.18287	0.68998	Medium
RNF208	20.18316	0.69024	Medium
SHH	20.18395	0.69050	Medium
CMTM4	20.18691	0.69076	Medium
TCEAL1	20.19528	0.69102	Medium
SEPT11	20.19968	0.69128	Medium
TASP1	20.21014	0.69154	Medium
ZNF691	20.21133	0.69180	Medium
DKK4	20.21262	0.69207	Medium
TMEM69	20.2195	0.69233	Medium
POLD2	20.23202	0.69259	Medium
RPA3-AS1	20.26113	0.69285	Medium
PSKH1	20.26929	0.69311	Medium
HBD	20.28992	0.69337	Medium
FGF1	20.31977	0.69363	Medium
MYF5	20.32434	0.69389	Medium
MPV17	20.34527	0.69415	Medium
CREBRF	20.36051	0.69441	Medium
GTSF1	20.3661	0.69467	Medium
TEAD1	20.36697	0.69493	Medium
MT1G	20.37147	0.69519	Medium
LIAS	20.39287	0.69545	Medium
C9orf69	20.40171	0.69571	Medium
GLIPR1	20.42182	0.69597	Medium
AC008394.1	20.4238	0.69623	Medium
AP3S1	20.45346	0.69649	Medium
UBXN7	20.45418	0.69676	Medium
SRRD	20.47367	0.69702	Medium
FAM153B	20.48848	0.69728	Medium
PPP1R1C	20.49327	0.69754	Medium
PRR23A	20.515	0.69780	Medium
FBL	20.52599	0.69806	Medium
POLR3G	20.55251	0.69832	Medium
VPRBP	20.55289	0.69858	Medium
OR4F21	20.56388	0.69884	Medium
DHX15	20.5721	0.69910	Medium
SLC25A44	20.57854	0.69936	Medium
DDB1	20.58446	0.69962	Medium
NSDHL	20.58651	0.69988	Medium
POU4F3	20.59903	0.70015	Medium
CRYAA	20.60065	0.70041	Medium
CDKN2A	20.60127	0.70067	Medium
NELFCD	20.6141	0.70093	Medium
ZNF213	20.61697	0.70119	Medium
RP11-147C23.1	20.62452	0.70145	Medium
SLC25A3	20.64253	0.70171	Medium
IMPDH2	20.66552	0.70197	Medium
DUXA	20.69426	0.70223	Medium
MARCH11	20.69433	0.70249	Medium
CD81	20.70447	0.70276	Medium
AL133318.1	20.71438	0.70302	Medium
NDUFB10	20.73017	0.70328	Medium
KCTD4	20.73489	0.70354	Medium
IER3	20.74499	0.70380	Medium
BSDC1	20.76497	0.70406	Medium
ATP6V1G1	20.79006	0.70432	Medium
ZNF2	20.79279	0.70458	Medium
CRY1	20.79741	0.70484	Medium
BBC3	20.81379	0.70511	Medium
SF1	20.81543	0.70537	Medium
PLD5	20.81668	0.70563	Medium
IKZF1	20.85855	0.70589	Medium
MAOB	20.86837	0.70615	Medium
MUM1L1	20.88173	0.70641	Medium
ANAPC11	20.8868	0.70667	Medium
C1orf52	20.88942	0.70693	Medium
KDM2A	20.89045	0.70720	Medium
MED29	20.91416	0.70746	Medium
HOXB5	20.91465	0.70772	Medium
SPRR2D	20.91726	0.70798	Medium
RAB33B	20.92026	0.70824	Medium
FZD3	20.93006	0.70850	Medium
PAPOLA	20.93686	0.70876	Medium
FAM168B	20.93895	0.70903	Medium
UBE2T	20.96935	0.70929	Medium
RAB43	20.97908	0.70955	Medium
OPA3	20.97956	0.70981	Medium
IFI27L2	20.98106	0.71007	Medium
PCGF1	20.98541	0.71033	Medium
CD160	20.99906	0.71059	Medium
MGST1	21.00485	0.71086	Medium
MRPL41	21.00646	0.71112	Medium
NDP	21.00936	0.71138	Medium
CST11	21.01492	0.71164	Medium
TAF8	21.02525	0.71190	Medium
PLLP	21.02809	0.71216	Medium
LCMT1	21.02882	0.71243	Medium
MAGEB17	21.04355	0.71269	Medium
JMJD6	21.04678	0.71295	Medium
AKR1D1	21.07566	0.71321	Medium
RAD51D	21.07912	0.71347	Medium
CXorf40B	21.09757	0.71373	Medium
PARD6G	21.10113	0.71400	Medium
ZNF595	21.10844	0.71426	Medium
SET	21.10998	0.71452	Medium
TM9SF3	21.14918	0.71478	Medium
PAGR1	21.15276	0.71504	Medium
TK1	21.18376	0.71530	Medium
POLR2J2	21.19593	0.71557	Medium
APOBEC3C	21.19902	0.71583	Medium
ST8SIA4	21.20035	0.71609	Medium
TMEM115	21.2075	0.71635	Medium
CENPH	21.20796	0.71661	Medium
PTRH2	21.21498	0.71688	Medium
AWAT2	21.22315	0.71714	Medium
NPIPA1	21.22367	0.71740	Medium
HEY1	21.23101	0.71766	Medium
C9orf116	21.24053	0.71792	Medium
PIANP	21.24177	0.71819	Medium
ATCAY	21.24378	0.71845	Medium
IER3IP1	21.24503	0.71871	Medium
CDC37L1	21.27415	0.71897	Medium
SNX11	21.28332	0.71923	Medium
AP4S1	21.32182	0.71950	Medium
MLST8	21.33132	0.71976	Medium
TPK1	21.33141	0.72002	Medium
KLF3	21.33351	0.72028	Medium
PRKAA1	21.33891	0.72054	Medium
MED8	21.34091	0.72081	Medium
TMEM251	21.35058	0.72107	Medium
PRKACB	21.38815	0.72133	Medium
PPP3CB	21.40368	0.72159	Medium
KDELR1	21.40603	0.72185	Medium
C10orf126	21.41851	0.72212	Medium
JUNB	21.42094	0.72238	Medium
CCNJ	21.42364	0.72290	Medium
ZNF711	21.42364	0.72264	Medium
SFT2D1	21.42372	0.72317	Medium
SLC50A1	21.43142	0.72343	Medium
MRPL51	21.44743	0.72369	Medium
TGFB2	21.45278	0.72395	Medium
GIT1	21.48868	0.72421	Medium
MBNL2	21.49435	0.72448	Medium
STX6	21.51311	0.72474	Medium
KCNA4	21.51947	0.72500	Medium
C10orf99	21.54372	0.72526	Medium
PSMG4	21.5692	0.72553	Medium
HSPA9	21.59412	0.72579	Medium
APOC3	21.59679	0.72605	Medium
ZNF672	21.60164	0.72631	Medium
NECAB1	21.60602	0.72658	Medium
INSM1	21.6187	0.72684	Medium
DDX25	21.62223	0.72710	Medium
CMIP	21.62477	0.72736	Medium
AC005779.2	21.62679	0.72763	Medium
HNRNPR	21.63195	0.72789	Medium
FAF2	21.63519	0.72815	Medium
CLVS2	21.63648	0.72841	Medium
AL354993.1	21.64298	0.72868	Medium
ABI2	21.65188	0.72894	Medium
CR769776.1	21.66156	0.72920	Medium
DALRD3	21.66294	0.72947	Medium
RP11-1167A19.2	21.6738	0.72973	Medium
ETS1	21.67457	0.72999	Medium
AC027309.1	21.67714	0.73025	Medium
SNTB2	21.70049	0.73052	Medium
DLX5	21.7021	0.73078	Medium
MLANA	21.71058	0.73104	Medium
NSG1	21.71706	0.73130	Medium
AURKC	21.72885	0.73157	Medium
TAS2R16	21.74383	0.73183	Medium
ELOVL3	21.76205	0.73209	Medium
THYN1	21.76632	0.73236	Medium
AP000769.1	21.77369	0.73262	Medium
GATA3	21.7772	0.73288	Medium
HCRT	21.78034	0.73314	Medium
SAP25	21.78248	0.73341	Medium
RAB3B	21.78565	0.73367	Medium
PTPMT1	21.79044	0.73393	Medium
TMEM68	21.80572	0.73420	Medium
HIST1H3A	21.81436	0.73446	Medium
LHFP	21.82161	0.73472	Medium
LMAN2L	21.85645	0.73498	Medium
PAGE2B	21.85826	0.73525	Medium
TMEM190	21.86062	0.73551	Medium
RND2	21.864	0.73577	Medium
C1orf123	21.87473	0.73604	Medium
AL353583.1	21.88559	0.73630	Medium
GRAMD4	21.90891	0.73656	Medium
ATF2	21.91257	0.73683	Medium
SELM	21.91467	0.73709	Medium
ASCL2	21.92423	0.73735	Medium
EMC3	21.92945	0.73762	Medium
MBD3L2	21.93031	0.73788	Medium
PLEKHB2	21.94762	0.73814	Medium
ATP2A2	21.95162	0.73840	Medium
ADH1A	21.95267	0.73867	Medium
VMP1	21.96934	0.73893	Medium
POLR2H	21.98231	0.73919	Medium
ERCC1	21.98733	0.73946	Medium
STAT1	22.02033	0.73972	Medium
NRN1	22.02062	0.73998	Medium
ZNHIT3	22.04368	0.74025	Medium
TBCEL	22.06126	0.74051	Medium
FXYD2	22.06592	0.74077	Medium
PPP1R11	22.07553	0.74104	Medium
RPS27L	22.08009	0.74130	Medium
LITAF	22.0807	0.74156	Medium
PLA2G1B	22.08097	0.74183	Medium
ING4	22.09017	0.74209	Medium
AC026369.1	22.09403	0.74235	Medium
KRTAP19-5	22.09493	0.74262	Medium
TIFAB	22.10502	0.74288	Medium
EIF5	22.15109	0.74315	Medium
PPP1R27	22.15401	0.74341	Medium
FAM57A	22.16868	0.74367	Medium
KCTD15	22.17006	0.74394	Medium
ETV3	22.17717	0.74420	Medium
PSMD12	22.17927	0.74446	Medium
ERG	22.18834	0.74473	Medium
VAX1	22.19535	0.74499	Medium
SP6	22.22008	0.74525	Medium
ZNF566	22.22962	0.74552	Medium
TMEM39B	22.23496	0.74578	Medium
HINT3	22.25513	0.74604	Medium
H2BFWT	22.25555	0.74631	Medium
RWDD1	22.27519	0.74657	Medium
CARD18	22.28015	0.74684	Medium
MSANTD2	22.28117	0.74710	Medium
FUOM	22.28332	0.74736	Medium
SDIM1	22.28373	0.74763	Medium
ALG14	22.28957	0.74789	Medium
MTRNR2L2	22.30248	0.74815	Medium
S100A14	22.30319	0.74842	Medium
PARP6	22.30333	0.74868	Medium
CLEC2B	22.3129	0.74895	Medium
PRPSAP1	22.31598	0.74921	Medium
RSL24D1	22.31869	0.74947	Medium
C3orf84	22.32724	0.74974	Medium
PRDX1	22.33675	0.75000	Medium
U2AF1L4	22.34982	0.75027	Medium
RNASE8	22.36247	0.75053	Medium
SOX9	22.37992	0.75079	Medium
TNFSF13B	22.39402	0.75106	Medium
AC073528.1	22.4067	0.75159	Medium
LYRM9	22.4067	0.75132	Medium
COMMD4	22.40743	0.75185	Medium
DEK	22.40799	0.75211	Medium
REXO2	22.41083	0.75238	Medium
CRH	22.45129	0.75264	Medium
GPR132	22.46387	0.75291	Medium
DEFB125	22.51624	0.75317	Medium
SFXN5	22.52132	0.75343	Medium
CTD-2021H9.3	22.54777	0.75370	Medium
KIAA0930	22.55837	0.75396	Medium
CD37	22.56348	0.75423	Medium
CTPS1	22.57002	0.75449	Medium
PTTG1IP	22.57024	0.75475	Medium
C3orf56	22.57141	0.75502	Medium
NAPA	22.57709	0.75528	Medium
CACNB4	22.57919	0.75555	Medium
KDM1A	22.58422	0.75581	Medium
PRPF40A	22.59417	0.75608	Medium
GLTP	22.60764	0.75634	Medium
NME6	22.60901	0.75660	Medium
ARHGDIG	22.62314	0.75687	Medium
C14orf166	22.63143	0.75713	Medium
C1QB	22.63593	0.75740	Medium
TP53TG3D	22.6399	0.75766	Medium
TRIM11	22.65172	0.75793	Medium
C20orf27	22.65805	0.75819	Medium
TRIM43	22.66163	0.75846	Medium
PRDM12	22.66512	0.75872	Medium
GUSB	22.67372	0.75898	Medium
COX20	22.69107	0.75925	Medium
C11orf70	22.70772	0.75951	Medium
ATP6V1A	22.70912	0.75978	Medium
CALN1	22.71328	0.76004	Medium
PPP5C	22.72261	0.76031	Medium
FAM212B	22.74555	0.76057	Medium
PRPF8	22.76309	0.76084	Medium
BCL11A	22.77118	0.76110	Medium
ZNF583	22.77727	0.76136	Medium
CCDC43	22.78453	0.76163	Medium
PORCN	22.82678	0.76189	Medium
LSAMP	22.84835	0.76216	Medium
TFDP1	22.85221	0.76242	Medium
RPL5	22.85333	0.76269	Medium
SERTAD2	22.87026	0.76295	Medium
MAPK14	22.88461	0.76322	Medium
PDAP1	22.91664	0.76348	Medium
STK25	22.91692	0.76375	Medium
EPT1	22.92337	0.76401	Medium
FBXO45	22.92623	0.76428	Medium
WNT7A	22.94657	0.76454	Medium
FNBP1L	22.94851	0.76481	Medium
SSRP1	22.95881	0.76507	Medium
UTP11L	22.97032	0.76534	Medium
RP11-293M10.1	22.97918	0.76560	Medium
ZC3H15	22.98157	0.76587	Medium
CYTH3	22.98729	0.76613	Medium
PPIH	22.99044	0.76640	Medium
PRKCA	22.99218	0.76666	Medium
HNRNPAB	22.99318	0.76692	Medium
SETD7	22.99717	0.76719	Medium
SUGT1	22.99839	0.76745	Medium
ZBTB16	23.01349	0.76772	Medium
C4B	23.02648	0.76798	Medium
SLC39A1	23.02696	0.76825	Medium
EIF3M	23.02701	0.76851	Medium
CCL22	23.03791	0.76878	Medium
DBNDD2	23.04628	0.76905	Medium
IGF2BP3	23.06422	0.76931	Medium
OARD1	23.06778	0.76958	Medium
NUP37	23.07873	0.76984	Medium
PRPF6	23.08084	0.77011	Medium
GUCA2B	23.08443	0.77037	Medium
SLC35F1	23.09728	0.77064	Medium
PCID2	23.1122	0.77090	Medium
ERGIC1	23.12846	0.77117	Medium
CORO1A	23.13331	0.77143	Medium
TMEM213	23.14245	0.77170	Medium
SYS1	23.14639	0.77196	Medium
F11R	23.15435	0.77223	Medium
LHX5	23.15676	0.77249	Medium
RP11-167N24.6	23.15681	0.77276	Medium
RFC3	23.15834	0.77302	Medium
ABCD1	23.16292	0.77329	Medium
THG1L	23.16784	0.77355	Medium
GNAI3	23.17555	0.77382	Medium
MTMR1	23.17742	0.77408	Medium
TM9SF2	23.18457	0.77435	Medium
TM4SF5	23.18839	0.77462	Medium
PRAMEF17	23.20446	0.77488	Medium
FGF23	23.20742	0.77515	Medium
NANP	23.21428	0.77541	Medium
CDC42EP3	23.24582	0.77568	Medium
RP1-66C13.4	23.26282	0.77594	Medium
FLJ00388	23.26524	0.77621	Medium
LMX1B	23.27331	0.77647	Medium
XPO7	23.27469	0.77674	Medium
MFAP4	23.28081	0.77700	Medium
NR2C2	23.28419	0.77727	Medium
AC013469.1	23.29796	0.77754	Medium
CRKL	23.30496	0.77780	Medium
GNAT1	23.3189	0.77807	Medium
NUDT5	23.32139	0.77833	Medium
CDO1	23.32434	0.77860	Medium
B3GNT1	23.32952	0.77886	Medium
PINLYP	23.3479	0.77913	Medium
VASH1	23.35804	0.77940	Medium
NCKAP1	23.37723	0.77966	Medium
DDIT4	23.39129	0.77993	Medium
PEX11A	23.39176	0.78019	Medium
FGF14	23.4147	0.78046	Medium
ZNF670	23.4153	0.78072	Medium
MAPK9	23.43443	0.78099	Medium
PTPN1	23.44227	0.78126	Medium
CTRB2	23.4963	0.78152	Medium
RNF122	23.53634	0.78179	Medium
ZBTB18	23.54663	0.78205	Medium
ANKRD54	23.55316	0.78232	Medium
ID4	23.5696	0.78258	Medium
KCTD12	23.60982	0.78285	Medium
UBL4B	23.63908	0.78312	Medium
PDP1	23.67152	0.78338	Medium
BRI3BP	23.69353	0.78365	Medium
HTATSF1	23.70635	0.78391	Medium
BACE2	23.71112	0.78418	Medium
GFOD1	23.72415	0.78445	Medium
ZCCHC3	23.74994	0.78471	Medium
MAFF	23.75237	0.78498	Medium
C10orf115	23.75947	0.78524	Medium
TRHR	23.76777	0.78551	Medium
GPR12	23.77511	0.78578	Medium
ZSCAN1	23.78059	0.78604	Medium
TOMM20L	23.84149	0.78631	Medium
HIST1H4D	23.84646	0.78658	Medium
POLR3GL	23.8527	0.78684	Medium
INHBA	23.87044	0.78711	Medium
TACR1	23.8871	0.78737	Medium
SYPL1	23.88737	0.78764	Medium
TMEM230	23.89693	0.78791	Medium
KLHDC1	23.90691	0.78817	Medium
BRMS1L	23.92102	0.78844	Medium
HMG20B	23.95513	0.78870	Medium
CAMKMT	23.97282	0.78897	Medium
GNG5P2	23.97445	0.78924	Medium
CD300LF	23.97502	0.78950	Medium
TRIM44	23.99448	0.78977	Medium
GFRA3	24.01119	0.79004	Medium
AL646016.1	24.01956	0.79030	Medium
RNF182	24.03513	0.79057	Medium
PSME2	24.05418	0.79084	Medium
API5	24.0593	0.79110	Medium
C10orf40	24.06529	0.79137	Medium
KIAA0907	24.07472	0.79163	Medium
MEF2D	24.10793	0.79190	Medium
HMBS	24.11657	0.79217	Medium
ARL6	24.13311	0.79243	Medium
ZNF709	24.14649	0.79270	Medium
GPR89A	24.14895	0.79297	Medium
ASIP	24.15406	0.79323	Medium
FBXO31	24.17342	0.79350	Medium
XKR4	24.17631	0.79377	Medium
RBBP9	24.18644	0.79403	Medium
PSMA1	24.18661	0.79430	Medium
AL355490.1	24.19145	0.79457	Medium
ZNF512	24.19914	0.79483	Medium
ZNF157	24.21653	0.79510	Medium
PLGLB2	24.22249	0.79537	Medium
FKSG68	24.228	0.79563	Medium
HBEGF	24.22839	0.79590	Medium
CYLD	24.23092	0.79617	Medium
TDRP	24.2353	0.79643	Medium
CLEC9A	24.23827	0.79670	Medium
RP11-497E19.2	24.23831	0.79697	Medium
NTNG1	24.24751	0.79723	Medium
VDAC3	24.24821	0.79750	Medium
SNAPC5	24.24987	0.79777	Medium
TRIP13	24.25769	0.79803	Medium
GSTA4	24.28731	0.79830	Medium
TBC1D13	24.31278	0.79857	Medium
SGTB	24.32508	0.79884	Medium
CHCHD4	24.3259	0.79910	Medium
SLC25A42	24.33192	0.79937	Medium
LRRC10B	24.34086	0.79964	Medium
LDB1	24.34364	0.79990	Medium
SLAIN2	24.34614	0.80017	Medium
CELF4	24.35294	0.80044	Medium
DEFB132	24.35412	0.80070	Medium
MAPK10	24.35774	0.80097	Medium
CNOT11	24.35814	0.80124	Medium
CD99L2	24.35838	0.80150	Medium
GGNBP1	24.37073	0.80177	Medium
RPL6	24.38571	0.80204	Medium
TLE6	24.39003	0.80231	Medium
MAFK	24.39748	0.80257	Medium
CARTPT	24.39966	0.80284	Medium
LFNG	24.41703	0.80311	Medium
GPR82	24.4195	0.80337	Medium
FGF9	24.43081	0.80364	Medium
C14orf144	24.44047	0.80391	Medium
CHMP1B	24.44413	0.80418	Medium
HIBADH	24.46519	0.80444	Medium
C10orf85	24.46624	0.80471	Medium
ARL10	24.49093	0.80498	Medium
RP11-77K12.1	24.51006	0.80525	Medium
PRR15L	24.52195	0.80551	Medium
SOCS5	24.52698	0.80578	Medium
PILRA	24.52952	0.80605	Medium
DTYMK	24.53091	0.80631	Medium
C19orf25	24.53564	0.80658	Medium
UGP2	24.54236	0.80685	Medium
TAS2R13	24.54423	0.80712	Medium
DNAL1	24.54661	0.80738	Medium
SOX10	24.56042	0.80765	Medium
PRL	24.58098	0.80792	Medium
PDCL	24.59469	0.80819	Medium
KRTAP3-1	24.61387	0.80845	Medium
GLYR1	24.61709	0.80872	Medium
ZDHHC15	24.63449	0.80899	Medium
GPR61	24.64009	0.80926	Medium
WASL	24.64068	0.80952	Medium
AHSA1	24.65239	0.80979	Medium
KLK5	24.65564	0.81006	Medium
GNRHR	24.68684	0.81033	Medium
CD164	24.70973	0.81059	Medium
ACTR6	24.71314	0.81086	Medium
CACNG2	24.71448	0.81113	Medium
